date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,80,19,20.848,45.449,19.755,44.525,20.545,45.013,20.008,45.663,19.479,45.523,19.612,47.644,20.805,46.207,20.511,45.605,20.036,45.146,-0.878,754.935,85.272,3.884,39.126,-3.824,48.94297,48.94297
2016-01-11 17:10:00,83,17,21.111,46.416,19.559,44.482,20.561,45.428,20.087,45.873,19.463,46.842,19.652,46.273,20.667,45.352,20.528,45.599,20.267,46.665,-1.404,752.662,83.326,4.194,43.807,-4.739,31.87385,31.87385
2016-01-11 17:20:00,94,13,20.513,46.385,20.008,46.095,20.559,46.022,19.953,46.016,19.236,45.353,19.73,45.457,20.678,46.661,20.352,45.723,20.477,46.394,-0.666,754.981,81.08,3.645,36.373,-4.45,47.85165,47.85165
2016-01-11 17:30:00,90,22,20.779,42.376,20.316,44.989,20.606,45.828,19.979,45.45,19.516,43.386,19.75,44.032,20.773,45.504,20.675,46.428,19.847,46.073,-0.559,754.656,83.725,4.573,41.582,-3.814,14.74784,14.74784
2016-01-11 17:40:00,86,17,20.78,46.288,19.943,44.383,20.642,46.401,20.304,44.502,19.659,44.226,19.809,45.811,20.922,46.011,20.802,45.273,20.076,46.978,-1.675,754.934,92.817,3.316,40.801,-3.111,32.75068,32.75068
2016-01-11 17:50:00,86,19,20.544,44.687,19.773,47.123,20.329,44.629,19.896,46.861,19.52,46.13,19.615,45.482,20.522,45.498,20.774,46.429,19.97,46.152,-1.365,754.405,76.391,3.646,35.779,-6.087,7.94183,7.94183
2016-01-11 18:00:00,90,17,21.127,44.036,19.462,45.488,20.465,46.268,19.758,47.832,19.402,45.558,20.375,45.188,21.072,43.564,20.701,47.934,20.018,45.623,-0.734,753.861,78.938,4.192,38.087,-4.946,45.67125,45.67125
2016-01-11 18:10:00,88,17,20.924,45.469,19.646,47.388,20.447,45.027,20.225,47.746,19.627,44.77,20.084,47.007,21.043,45.499,20.588,45.627,20.395,44.136,-0.843,754.361,74.927,4.653,38.122,-5.857,16.88581,16.88581
2016-01-11 18:20:00,91,21,21.143,46.05,20.26,45.938,20.857,45.54,20.042,45.374,19.741,48.243,20.032,46.074,21.129,44.641,20.715,43.512,19.954,47.412,-0.645,754.673,79.552,4.298,33.84,-4.735,7.93117,7.93117
2016-01-11 18:30:00,108,17,21.471,43.668,19.826,46.373,20.981,47.523,19.992,45.184,19.538,47.061,20.411,43.993,21.109,47.131,20.69,45.589,19.807,45.949,-0.893,755.831,78.479,4.489,37.243,-5.198,26.46632,26.46632
